,id,verb,postedTime,body,actor,hashtags,mentions,lang,emoji_free_tweets,url_free_tweets
87,"tag:search.twitter.com,2005:1254901097203994625",post,2020-04-27T22:31:51.000Z,"covidartchallenge accepted! 🤔🤔
.
.
.
JONRS
.
.
.
.
.
.
.
vancouverartist  vancouver canadianart streetart… ","{'id': 'id:twitter.com:1087915745512611841', 'displayName': 'JONRS', 'preferredUsername': 'JONRS_now'}","['covidartchallenge', 'JONRS', 'vancouverartist', 'vancouver', 'canadianart', 'streetart']",[],en,#covidartchallenge accepted! 🤔🤔 . . . #JONRS . . . . . . . #vancouverartist #vancouver #canadianart #streetart… https://t.co/h9oTpSSkLz,#covidartchallenge accepted! 🤔🤔 . . . #JONRS . . . . . . . #vancouverartist #vancouver #canadianart #streetart… 
88,"tag:search.twitter.com,2005:1254900270938697729",share,2020-04-27T22:28:34.000Z,": ... don't stop dreaming, not now. Art by Bane in Limassol, Cyprus StreetArt Art Dreamers Hope Humanity Graffiti …","{'id': 'id:twitter.com:134805414', 'displayName': 'sam johnson 🎵🔊👂', 'preferredUsername': 'ant_manic'}","['StreetArt', 'Art', 'Dreamers', 'Hope', 'Humanity', 'Graffiti']","[{'name': 'One World Street Art', 'screen_name': 'StreetArtDream'}]",en,"RT @StreetArtDream: ... don't stop dreaming, not now. Art by Bane in Limassol, Cyprus #StreetArt #Art #Dreamers #Hope #Humanity #Graffiti #…","RT @StreetArtDream: ... don't stop dreaming, not now. Art by Bane in Limassol, Cyprus #StreetArt #Art #Dreamers #Hope #Humanity #Graffiti #…"
89,"tag:search.twitter.com,2005:1254899526747541505",share,2020-04-27T22:25:36.000Z,": ...  take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp;  Grow…","{'id': 'id:twitter.com:474846226', 'displayName': 'Jasper Jouan', 'preferredUsername': 'jasperjn'}",[],"[{'name': 'One World Street Art', 'screen_name': 'StreetArtDream'}]",en,"RT @StreetArtDream: ... take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp; Grow…","RT @StreetArtDream: ... take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp; Grow…"
90,"tag:search.twitter.com,2005:1254899197553205248",share,2020-04-27T22:24:18.000Z,": streetart mural urbanart By JR Artist in NYC, USA.

A dancer confined to her box... ","{'id': 'id:twitter.com:14914045', 'displayName': 'Granville #AussieResister', 'preferredUsername': 'Granville4879'}","['streetart', 'mural', 'urbanart']","[{'name': 'Jean-Pierre FIZAINE', 'screen_name': '95jpf'}]",en,"RT @95jpf: #streetart #mural #urbanart By JR Artist in NYC, USA. A dancer confined to her box... https://t.co/a8Jh8TxWRE","RT @95jpf: #streetart #mural #urbanart By JR Artist in NYC, USA. A dancer confined to her box... "
91,"tag:search.twitter.com,2005:1254898916774068226",share,2020-04-27T22:23:11.000Z,": Thank you to our HealthcareHeroes by  in Houston, Texas
---
GlobalStreetArt StreetArt PaintedCities…","{'id': 'id:twitter.com:34553', 'displayName': 'Marc Schiller', 'preferredUsername': 'MarcDSchiller'}",['HealthcareHeroes'],"[{'name': 'Global Street Art', 'screen_name': 'globalstreetart'}]",en,"RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…","RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…"
92,"tag:search.twitter.com,2005:1254898916358787073",share,2020-04-27T22:23:11.000Z,": Thank you to our HealthcareHeroes by  in Houston, Texas
---
GlobalStreetArt StreetArt PaintedCities…","{'id': 'id:twitter.com:14272168', 'displayName': 'Sarcasm', 'preferredUsername': 'ExcuseMySarcasm'}",['HealthcareHeroes'],"[{'name': 'Global Street Art', 'screen_name': 'globalstreetart'}]",en,"RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…","RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…"
93,"tag:search.twitter.com,2005:1254898272197632001",share,2020-04-27T22:20:37.000Z,": There is two sides to everything

streetArt Mural Graffiti ","{'id': 'id:twitter.com:14272168', 'displayName': 'Sarcasm', 'preferredUsername': 'ExcuseMySarcasm'}","['streetArt', 'Mural', 'Graffiti']","[{'name': 'Cuiet(4.26)       Matte.L', 'screen_name': 'Cuiet426'}]",en,RT @Cuiet426: There is two sides to everything #streetArt #Mural #Graffiti https://t.co/UbtIARL2rT,RT @Cuiet426: There is two sides to everything #streetArt #Mural #Graffiti 
94,"tag:search.twitter.com,2005:1254898173757329409",share,2020-04-27T22:20:14.000Z,": ...  take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp;  Grow…","{'id': 'id:twitter.com:1157730134528548864', 'displayName': 'Linda Lamb', 'preferredUsername': 'LindaLa23623844'}",[],"[{'name': 'One World Street Art', 'screen_name': 'StreetArtDream'}]",en,"RT @StreetArtDream: ... take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp; Grow…","RT @StreetArtDream: ... take care of yourself, protect your heart, love yourself. Do not lose hope, choose colors. Art by Mawe RFK &amp; Grow…"
95,"tag:search.twitter.com,2005:1254897999475507203",share,2020-04-27T22:19:32.000Z,: C is for CRASH OG NYC 80s graffiti writer Collaboration with another OG DAZE - I had the incredible opportunity…,"{'id': 'id:twitter.com:1143845680936607744', 'displayName': 'Subway Surfer', 'preferredUsername': '__subwaysurfer'}","['C', 'CRASH', 'OG', 'NYC', '80s', 'graffiti', 'Collaboration', 'OG', 'DAZE']","[{'name': 'dean sunshine', 'screen_name': 'deansunshine'}]",en,RT @deansunshine: #C is for #CRASH #OG #NYC #80s #graffiti writer #Collaboration with another #OG #DAZE - I had the incredible opportunity…,RT @deansunshine: #C is for #CRASH #OG #NYC #80s #graffiti writer #Collaboration with another #OG #DAZE - I had the incredible opportunity…
96,"tag:search.twitter.com,2005:1254897525439508483",share,2020-04-27T22:17:39.000Z,": There is two sides to everything

streetArt Mural Graffiti ","{'id': 'id:twitter.com:1493972179', 'displayName': 'mcicculus', 'preferredUsername': 'mcicculus'}","['streetArt', 'Mural', 'Graffiti']","[{'name': 'Cuiet(4.26)       Matte.L', 'screen_name': 'Cuiet426'}]",en,RT @Cuiet426: There is two sides to everything #streetArt #Mural #Graffiti https://t.co/UbtIARL2rT,RT @Cuiet426: There is two sides to everything #streetArt #Mural #Graffiti 
97,"tag:search.twitter.com,2005:1254897349836574721",share,2020-04-27T22:16:57.000Z,": Thank you to our HealthcareHeroes by  in Houston, Texas
---
GlobalStreetArt StreetArt PaintedCities…","{'id': 'id:twitter.com:188592927', 'displayName': 'Dro', 'preferredUsername': 'sMkDro'}",['HealthcareHeroes'],"[{'name': 'Global Street Art', 'screen_name': 'globalstreetart'}]",en,"RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…","RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…"
98,"tag:search.twitter.com,2005:1254897342811119616",share,2020-04-27T22:16:56.000Z,": Thank you to our HealthcareHeroes by  in Houston, Texas
---
GlobalStreetArt StreetArt PaintedCities…","{'id': 'id:twitter.com:350435158', 'displayName': 'Rebecca', 'preferredUsername': 'RebeccaNola'}",['HealthcareHeroes'],"[{'name': 'Global Street Art', 'screen_name': 'globalstreetart'}]",en,"RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…","RT @globalstreetart: Thank you to our #HealthcareHeroes by @anatronen1971 in Houston, Texas --- #GlobalStreetArt #StreetArt #PaintedCities…"
